"","x"
"317",22671.259766
"318",22696.009766
"319",22760.240234
"320",22730.679688
"321",22509.640625
"322",22562.800781
"323",22223.529297
"324",22132.529297
"325",22453.890625
"326",22133.970703
"327",22260.669922
"328",21976.330078
"329",21746.259766
"330",21837.119141
"331",21862.990234
"332",22261.609375
"333",22352.380859
"334",22582.769531
"335",22730.859375
"336",22712.910156
"337",22704.5
"338",22834.679688
"339",22836.519531
"340",22953.759766
"341",22965.859375
"342",22963.179688
"343",22944.300781
"344",23080.029297
"345",23010.140625
"346",23081.650391
"347",23291.039063
"348",23151.710938
"349",23109.660156
"350",22951
"351",23117.470703
"352",23315.740234
"353",23257.289063
"354",23175.019531
"355",23319.169922
"356",23300.669922
"357",23203.589844
"358",23181.720703
"359",23167.730469
"360",23194.060547
"361",22804.810547
"362",22880.640625
"363",22866.699219
"364",23197.830078
"365",23221.519531
"366",23190.720703
"367",23549.619141
"368",23531.439453
"369",23546.359375
"370",23540.919922
"371",23541.380859
"372",23176.070313
"373",23238.990234
"374",23233.449219
"375",23346.669922
"376",23459.960938
"377",23523.279297
"378",23520.869141
"379",23454.789063
"380",23387.140625
"381",23782.109375
"382",23971.869141
"383",24141.5
"384",24216.009766
"385",24428.630859
"386",24640.529297
"387",24732.210938
"388",24756.849609
"389",24532.429688
"390",24600.080078
"391",24648.259766
"392",24584.130859
"393",24387.560547
"394",24331.410156
"395",24646.019531
"396",24689.410156
"397",24890.339844
"398",24801.359375
"399",24954.939453
"400",24955.460938
"401",25122.949219
"402",25159.759766
"403",24994.099609
"404",25112.230469
"405",25166.910156
"406",25074.5
"407",24918.75
"408",24741
"409",24742.060547
"410",24752.089844
"411",24749.019531
"412",25317.949219
"413",25297.919922
"414",25240.150391
"415",25190.449219
"416",24705.359375
"417",24662.640625
"418",24595.320313
"419",24356.990234
"420",24136.009766
"421",24376.410156
"422",24168.720703
"423",24306.160156
"424",23955.490234
"425",23837.070313
"426",23921.609375
"427",23768.130859
"428",23678.410156
"429",23229.210938
"430",22932.980469
"431",23064.560547
"432",23315.039063
"433",23422.519531
"434",23263.330078
"435",23534.529297
"436",23088.539063
"437",23143.380859
"438",23047.970703
"439",23140.050781
"440",22900.939453
"441",23023.210938
"442",23070.259766
"443",23088.580078
"444",23403.970703
"445",23333.179688
"446",23302.199219
"447",23143.230469
"448",23520.359375
"449",23819.869141
"450",23702.039063
"451",23998.060547
"452",23915.970703
"453",23845.660156
"454",23695.619141
"455",23649.310547
"456",23550.240234
"457",23744.699219
"458",23808.279297
"459",23938.179688
"460",24019.939453
"461",24087.380859
"462",23797.080078
"463",23529.169922
"464",23373.310547
"465",23349.640625
"466",23437.119141
"467",23893.140625
"468",23843.910156
"469",24111.980469
"470",24004.279297
"471",23987.449219
"472",23367.449219
"473",23654.300781
"474",23428.619141
"475",23832.560547
"476",24002.640625
"477",24047.669922
"478",23485.830078
"479",23524.519531
"480",23312.539063
"481",23249.199219
"482",23027.849609
"483",22670.5
"484",22585.839844
"485",22832.210938
"486",23116.630859
"487",23408.570313
"488",23333.689453
"489",23349.339844
"490",23773.179688
"491",23501.099609
"492",23605.039063
"493",23721.300781
"494",23721.320313
"495",23485.410156
"496",23681.259766
"497",23835.529297
"498",23919.949219
"499",24026.460938
"500",24215.970703
"501",24112.599609
"502",24350.910156
"503",24103.519531
"504",23738.490234
"505",23951.160156
"506",24352.580078
"507",24522.630859
"508",24850.449219
"509",24909.900391
"510",24807.279297
"511",24861.810547
"512",24595.849609
"513",24507.050781
"514",24484.740234
"515",24554.779297
"516",24679.759766
"517",24765.490234
"518",24679.390625
"519",24521
"520",24528.099609
"521",24315.019531
"522",24422.150391
"523",24682.539063
"524",24726.529297
"525",24784.880859
"526",24832.080078
"527",24836.759766
"528",24750.070313
